lat,lon
32.85147656,-117.0087937
32.86078766,-116.9783184
32.84018897,-116.9997143
32.83867127,-116.9899142
32.83165735,-117.0379553
32.83740759,-117.033902
32.83165735,-117.0379553
32.83165735,-117.0379553
32.85824854,-116.9722678
32.85512493,-116.9755505
32.8517763,-116.9732537
32.84277954,-116.9615584
32.8295283,-116.9997332
32.86237346,-116.9658701
32.82807454,-116.9612772
32.86347654,-116.9684619
32.83129005,-116.9759111
32.83165735,-117.0379553
32.8499037,-116.9859682
32.86034374,-116.9736349
32.87405929,-116.971143
32.86493426,-116.9645818
32.84948984,-117.0152334
32.86909745,-116.9774264
32.8429372,-116.9571128
32.84967563,-117.0021574
32.84176828,-116.9618632
32.85513496,-116.9700559
32.84477171,-117.0015815
32.83165735,-117.0379553
32.84662596,-116.9716043
32.8473822,-116.9970311
32.85438839,-116.9780097
32.83914955,-116.9657629
32.85065999,-116.9902613
32.84590213,-116.9639209
32.84625683,-117.0101868
32.8386826,-116.9872941
32.84277954,-116.9615584
32.85635769,-116.9770557
32.83956424,-117.0186111
32.8386826,-116.9872941
32.83866617,-116.999352
32.83189773,-116.9610783
32.83860863,-116.9804713
32.83863252,-116.9673686
32.83862441,-117.0020281
32.83866617,-116.999352
32.83860863,-116.9804713
32.86689607,-116.9710591
32.8386826,-116.9872941
32.86595842,-116.9752633
32.83330869,-116.9615583
32.83268889,-117.0003064
32.84274241,-116.9972046
32.84007891,-116.988522
32.83860863,-116.9804713
32.85167775,-116.9706773
32.85513306,-116.9732995
32.84623089,-117.0110511
32.84477171,-117.0015815
32.84072253,-116.9479767
32.84590213,-116.9639209
32.84257386,-116.9864012
32.85441295,-116.963402
32.83857682,-116.9786231
32.86524944,-116.9699432
32.8434102,-116.9692427
32.84931734,-116.9918903
32.8338442,-116.9960661
32.83914955,-116.9657629
32.83330869,-116.9615583
32.84948984,-117.0152334
32.84007891,-116.988522
32.83866617,-116.999352
32.83165735,-117.0379553
32.84948984,-117.0152334
32.86529389,-116.9663156
32.85315925,-116.9945537
32.86419755,-116.9710497
32.83189773,-116.9610783
32.87608459,-116.975449
32.8558157,-116.9710514
32.84662596,-116.9716043
32.86532939,-116.9773347
32.85877951,-116.9616449
32.82807454,-116.9612772
32.83165735,-117.0379553
32.83330869,-116.9615583
32.85066923,-116.985955
32.85479895,-116.9608244
32.83165735,-117.0379553
32.86370385,-117.0039675
32.8434102,-116.9692427
32.83837444,-116.9682312
32.83165735,-117.0379553
32.85704175,-116.9631988
32.85558329,-116.9816246
32.86448611,-116.9676725
32.84662596,-116.9716043
32.84176828,-116.9618632
32.85386198,-116.9812617
32.85078813,-116.9671419
32.83165735,-117.0379553
32.8502967,-116.9843564
32.8473822,-116.9970311
32.8464583,-116.9594286
32.8558157,-116.9710514
32.83330869,-116.9615583
32.86323118,-116.9634763
32.859817,-116.9821964
32.86243497,-116.9769887
32.83330869,-116.9615583
32.84007891,-116.988522
32.83914955,-116.9657629
32.8499046,-116.9711623
32.8387282,-116.9724936
32.85345682,-116.9807285
32.84312071,-117.0170932
32.84325773,-116.9560983
32.83165735,-117.0379553
32.83325633,-117.0255372
32.82860735,-117.0206209
32.84325773,-116.9560983
32.85311931,-116.9710288
32.86448611,-116.9676725
32.83030222,-117.0081282
32.84834842,-116.9733444
32.84007891,-116.988522
32.85196243,-116.9925411
32.83528879,-117.0230608
32.83276503,-117.0058495
32.85225841,-116.9491686
32.84948984,-117.0152334
32.86217658,-116.992247
32.85164832,-116.9766058
32.84274241,-116.9972046
32.83150422,-116.9633853
32.83867127,-116.9899142
32.83483784,-116.9724142
32.86689607,-116.9710591
32.85389189,-117.0087262
32.84146334,-116.9966923
32.84007891,-116.988522
32.85345682,-116.9807285
32.86932148,-116.9736773
32.85392788,-116.9964366
32.84813086,-116.9575229
32.84625683,-117.0101868
32.84948984,-117.0152334
32.83129005,-116.9759111
32.83384294,-116.9983346
32.86078586,-116.9755894
32.84257386,-116.9864012
32.85459332,-116.9819158
32.82728914,-116.9996858
32.85456826,-117.008091
32.85392788,-116.9964366
32.85392788,-116.9964366
32.85459332,-116.9819158
32.84007891,-116.988522
32.84590213,-116.9639209
32.85730064,-116.9783372
32.85459332,-116.9819158
32.86418332,-116.9736569
32.8342705,-117.0131143
32.86653248,-116.9807666
32.86228289,-117.0006719
32.84270082,-117.0222843
32.84898574,-116.9948109
32.84067743,-116.9685056
32.86441657,-117.0051458
32.83306355,-117.0003893
32.85642651,-117.0048814
32.86607999,-117.0028265
32.85802724,-116.9822
32.83120322,-116.9724367
32.86568658,-117.0055917
32.87329508,-117.0015016
32.86074957,-116.9927323
32.86402757,-116.9831151
32.87050865,-117.0017485
32.85730064,-116.9783372
32.86585397,-117.0036413
32.84581327,-116.962673
32.85628035,-116.9810783
32.85558329,-116.9816246
32.86126122,-116.9809604
32.83330869,-116.9615583
32.859817,-116.9821964
32.85558329,-116.9816246
32.86228289,-117.0006719
32.86126122,-116.9809604
32.83165735,-117.0379553
32.85802315,-116.9801045
32.85558329,-116.9816246
32.87329508,-117.0015016
32.84007891,-116.988522
32.84176828,-116.9618632
32.86796336,-116.9758489
32.86568658,-117.0055917
32.84662596,-116.9716043
32.8558157,-116.9710514
32.83852122,-116.9757681
32.86568658,-117.0055917
32.83165735,-117.0379553
32.83210139,-116.9915231
32.8323885,-116.9968123
32.86228289,-117.0006719
32.86418332,-116.9736569
32.83860863,-116.9804713
32.84656976,-116.9863328
32.83852122,-116.9757681
32.86388796,-116.976916
32.84116253,-117.0122536
32.83860863,-116.9804713
32.82688296,-117.0007095
32.83863252,-116.9673686
32.83867127,-116.9899142
32.83602233,-116.9883677
32.8681342,-116.9827744
32.83325633,-117.0255372
32.83602233,-116.9883677
32.83528879,-117.0230608
32.86370385,-117.0039675
32.84948984,-117.0152334
32.85513496,-116.9700559
32.85410145,-116.9770379
32.86056717,-117.0045054
32.85575595,-116.9926925
32.85511291,-116.9837471
32.8572147,-116.9710466
32.86056717,-117.0045054
32.86493426,-116.9645818
32.83602233,-116.9883677
32.85642651,-117.0048814
32.83684616,-116.9838063
32.83136536,-116.9805297
32.83523216,-116.9972076
32.8429372,-116.9571128
32.83606594,-116.9659524
32.84274241,-116.9972046
32.84257386,-116.9864012
32.83030398,-116.9627099
32.83405277,-117.0143218
32.83863252,-116.9673686
32.83867127,-116.9899142
32.83914955,-116.9657629
32.83914955,-116.9657629
32.8512374,-117.0011499
32.83165735,-117.0379553
32.84990662,-116.9533718
32.83852122,-116.9757681
32.84075264,-117.0194358
32.8434102,-116.9692427
32.85672451,-116.9752026
32.83210139,-116.9915231
32.83203884,-116.9837744
32.84150646,-116.9689377
32.83860863,-116.9804713
32.83444243,-116.9994377
32.8559213,-116.9757821
32.83684616,-116.9838063
32.84477171,-117.0015815
32.83165735,-117.0379553
32.85010683,-116.9969243
32.84662596,-116.9716043
32.83276503,-117.0058495
32.83155937,-116.9674635
32.83860863,-116.9804713
32.84007891,-116.988522
32.84277954,-116.9615584
32.84550885,-117.0135926
32.83674755,-117.0007121
32.83860863,-116.9804713
32.83183507,-116.9867188
32.84623089,-117.0110511
32.85824033,-116.9754935
32.8558157,-116.9710514
32.86882189,-116.9803208
32.83165735,-117.0379553
32.83860863,-116.9804713
32.8251768,-117.0012905
32.83150422,-116.9633853
32.83030398,-116.9627099
32.84735741,-116.9981473
32.86684257,-116.9675137
32.85143463,-116.9868039
32.83132525,-117.0191966
32.83606594,-116.9659524
32.85512493,-116.9755505
32.8434102,-116.9692427
32.86347654,-116.9684619
32.84990662,-116.9533718
32.86243627,-116.9751292
32.83139831,-116.9831733
32.84990662,-116.9533718
32.84577492,-116.9977301
32.83165735,-117.0379553
32.8722461,-116.9758712
32.83437837,-116.9650044
32.85739609,-116.974337
32.86418332,-116.9736569
32.83005518,-117.0044753
32.84007891,-116.988522
32.83165735,-117.0379553
32.86568658,-117.0055917
32.84948984,-117.0152334
32.83932448,-116.9958359
32.84477171,-117.0015815
32.86595842,-116.9752633
32.85052257,-117.0017065
32.8386826,-116.9872941
32.86078766,-116.9783184
32.84277954,-116.9615584
32.84905726,-116.9900489
32.83866613,-116.9939436
32.84662596,-116.9716043
32.86132838,-116.964847
32.84948984,-117.0152334
32.84359647,-116.9594806
32.84662596,-116.9716043
32.86866206,-116.9742485
32.86689607,-116.9710591
32.85421988,-116.962454
32.8444758,-116.9979012
32.82772769,-116.9925187
32.83867127,-116.9899142
32.84577492,-116.9977301
32.86348601,-116.9705071
32.86492108,-116.9755665
32.84854158,-116.9834269
32.84357921,-117.0111763
32.8342705,-117.0131143
32.84662596,-116.9716043
32.84990662,-116.9533718
32.84257386,-116.9864012
32.84967913,-116.9997489
32.83184032,-117.0236517
32.84948984,-117.0152334
32.84477171,-117.0015815
32.85360569,-116.9827673
32.8572147,-116.9710466
32.87091263,-116.9721545
32.83165735,-117.0379553
32.84662596,-116.9716043
32.84007891,-116.988522
32.84662596,-116.9716043
32.83860863,-116.9804713
32.8444758,-116.9979012
32.8558157,-116.9710514
32.83867127,-116.9899142
32.8558157,-116.9710514
32.83132525,-117.0191966
32.8444758,-116.9979012
32.84176828,-116.9618632
32.83863252,-116.9673686
32.8512374,-117.0011499
32.83150422,-116.9633853
32.86126122,-116.9809604
32.83189773,-116.9610783
32.84257386,-116.9864012
32.83860863,-116.9804713
32.86689607,-116.9710591
32.83866613,-116.9939436
32.84718268,-117.0018629
32.83914955,-116.9657629
32.83956901,-116.9709215
32.83866613,-116.9939436
32.85917152,-116.9710626
32.84007891,-116.988522
32.84477171,-117.0015815
32.84274241,-116.9972046
32.866103,-116.982415
32.82904469,-117.0238192
32.84007891,-116.988522
32.83325633,-117.0255372
32.83437837,-116.9650044
32.85172984,-116.9958178
32.85767476,-116.9806877
32.85041654,-116.9514163
32.83165735,-117.0379553
32.83090028,-117.0229295
32.8582447,-116.9732466
32.85754741,-116.9722285
32.84477171,-117.0015815
32.84007891,-116.988522
32.8558157,-116.9710514
32.84662596,-116.9716043
32.83914955,-116.9657629
32.82750845,-116.9915868
32.87135931,-116.9732267
32.84274241,-116.9972046
32.86866206,-116.9742485
32.83860863,-116.9804713
32.83189773,-116.9610783
32.83860863,-116.9804713
32.83993668,-116.973583
32.83165735,-117.0379553
32.83165735,-117.0379553
32.84854158,-116.9834269
32.83945468,-116.9632766
32.83866613,-116.9939436
32.83866613,-116.9939436
32.85513496,-116.9700559
32.83330869,-116.9615583
32.84007891,-116.988522
32.84274241,-116.9972046
32.83914955,-116.9657629
32.84777826,-117.0010248
32.83136536,-116.9805297
32.85832719,-117.0000056
32.83165735,-117.0379553
32.84948984,-117.0152334
32.83860863,-116.9804713
32.85563175,-117.0088725
32.86435552,-116.9801244
32.84948984,-117.0152334
32.85797845,-116.9787097
32.83784683,-117.0246536
32.8508204,-116.9834132
32.8386826,-116.9872941
32.84277954,-116.9615584
32.8386826,-116.9872941
32.82904469,-117.0238192
32.83276503,-117.0058495
32.86932148,-116.9736773
32.84258392,-116.949041
32.85832719,-117.0000056
32.83165735,-117.0379553
32.83866613,-116.9939436
32.84905726,-116.9900489
32.83165735,-117.0379553
32.83495814,-116.9777368
32.8309668,-117.0142283
32.84789546,-116.9539012
32.83606594,-116.9659524
32.83139831,-116.9831733
32.82934733,-116.9925589
32.85513496,-116.9700559
32.85332832,-116.9820339
32.83837444,-116.9682312
32.84253297,-117.0130296
32.83684616,-116.9838063
32.83866613,-116.9939436
32.84990662,-116.9533718
32.83842712,-116.9709435
32.83860863,-116.9804713
32.85508044,-116.9999095
32.84357921,-117.0111763
32.83852122,-116.9757681
32.82904469,-117.0238192
32.85563175,-117.0088725
32.83165735,-117.0379553
32.83165735,-117.0379553
32.8532689,-116.9730897
32.86689607,-116.9710591
32.83165735,-117.0379553
32.86418332,-116.9736569
32.84390244,-117.0146906
32.8559213,-116.9757821
32.83132525,-117.0191966
32.83088529,-117.0208367
32.82600042,-117.0003274
32.84588361,-117.0078572
32.83165735,-117.0379553
32.84405772,-117.0048316
32.84990662,-116.9533718
32.84007891,-116.988522
32.8310825,-116.9655571
32.85052257,-117.0017065
32.83330869,-116.9615583
32.84335585,-116.9518901
32.86820787,-116.9720469
32.85052257,-117.0017065
32.82934733,-116.9925589
32.8499046,-116.9711623
32.83528879,-117.0230608
32.85917152,-116.9710626
32.8588869,-116.9965689
32.8459873,-116.9538704
32.84357921,-117.0111763
32.85399356,-116.9596427
32.85059699,-116.9993422
32.8438994,-116.955633
